"sentence","label","tokens"
"a white waist line puffer jacket with 2 pockets on the inside of the jacket a line of fur on the hood zipper on the pockets on the outside  ",2,"white|waist|line|puffer|jacket|with|pockets|on|the|inside|of|the|jacket|line|of|fur|on|the|hood|zipper|on|the|pockets|on|the|outside"
"I want a wax jacket that is blue in colour. I want it to fit well and to look stylish. I would like it to be warm but not too warm and to be waterproof. Ideally it should have a hood but that is not essential. I would like it to have some natural fibres in it so that it is warm but not uncomfortable",2,"want|wax|jacket|that|is|blue|in|colour|want|it|to|fit|well|and|to|look|stylish|would|like|it|to|be|warm|but|not|too|warm|and|to|be|waterproof|ideally|it|should|have|hood|but|that|is|not|essential|would|like|it|to|have|some|natural|fibres|in|it|so|that|it|is|warm|but|not|uncomfortable"
"I would choose a zara jacket as they are the most stylish ",2,"would|choose|zara|jacket|as|they|are|the|most|stylish"
"My current laptop wasn't touchscreen, so I would like to buy a laptop that has a touchscreen as a replacement. Either that, or a mac laptop. I'm used to buying anything microsoft so I would like to try something different.",2,"my|current|laptop|wasn|touchscreen|so|would|like|to|buy|laptop|that|has|touchscreen|as|replacement|either|that|or|mac|laptop|used|to|buying|anything|microsoft|so|would|like|to|try|something|different"
"I would choose something small and lightweight, maybe a chromebook,",2,"would|choose|something|small|and|lightweight|maybe|chromebook"
"I'm after a warm comfortable jacket. I'd prefer black so it goes with all outfits.",2,"after|warm|comfortable|jacket|prefer|black|so|it|goes|with|all|outfits"
"I want one with mostly natural fibres - I find nylon and polyester ones stick to me if theres the slightest bit of noticeable humidity.  Im going to sound like my dad, but I want a zip pocket inside for my wallet and phone as I spend quite a bit of time on busy tube trains.",2,"want|one|with|mostly|natural|fibres|find|nylon|and|polyester|ones|stick|to|me|if|theres|the|slightest|bit|of|noticeable|humidity|im|going|to|sound|like|my|dad|but|want|zip|pocket|inside|for|my|wallet|and|phone|as|spend|quite|bit|of|time|on|busy|tube|trains"
"I would buy a Joules jacket that is quite buffy, green  but also  very lightweight so I won't get too hot whilst walking in it. ",2,"would|buy|joules|jacket|that|is|quite|buffy|green|but|also|very|lightweight|so|won|get|too|hot|whilst|walking|in|it"
"The latest Macbook Pro, with a 15-inch display. This is a laptop made by Apple. It has a unibody design and is made of aluminium. It comes in the colour of silver and grey. It has a quad-core Intel i5 processor, 8gb DDR4 ram, a 256gb SSD, and on board intel graphics.",2,"the|latest|macbook|pro|with|inch|display|this|is|laptop|made|by|apple|it|has|unibody|design|and|is|made|of|aluminium|it|comes|in|the|colour|of|silver|and|grey|it|has|quad|core|intel|processor|gb|ddr|ram|gb|ssd|and|on|board|intel|graphics"
"Something similar to the one I had lost. Something warm, comfy and that went with most of my outfits. Pricepoint needs to be good.",2,"something|similar|to|the|one|had|lost|something|warm|comfy|and|that|went|with|most|of|my|outfits|pricepoint|needs|to|be|good"
"I would want something that was not too big but not too snug. Something black so it can be worn with anything. Something made of a stylish material that can be easily cleaned. Something that would keep me warm in the cold and that had deep pockets. ",2,"would|want|something|that|was|not|too|big|but|not|too|snug|something|black|so|it|can|be|worn|with|anything|something|made|of|stylish|material|that|can|be|easily|cleaned|something|that|would|keep|me|warm|in|the|cold|and|that|had|deep|pockets"
"The ideal replacement would be lightweight and slim with a high quality internal processor and sound system. It would also be reasonably priced and chrome in colour.",2,"the|ideal|replacement|would|be|lightweight|and|slim|with|high|quality|internal|processor|and|sound|system|it|would|also|be|reasonably|priced|and|chrome|in|colour"
"The new MacBook Air with the biggest screen available. ",2,"the|new|macbook|air|with|the|biggest|screen|available"
"I would buy a quilted Barbour style lightweight jacket",2,"would|buy|quilted|barbour|style|lightweight|jacket"
"A black jacket with lots of pockets. Preferably one I could wear during multiple seasons",2,"black|jacket|with|lots|of|pockets|preferably|one|could|wear|during|multiple|seasons"
"I would choose a hoodie, maybe grey or black. It would be zip up and long sleeved ",2,"would|choose|hoodie|maybe|grey|or|black|it|would|be|zip|up|and|long|sleeved"
"I want a denim jacket. And i'd like that to be medium wash, loose fit. ",2,"want|denim|jacket|and|like|that|to|be|medium|wash|loose|fit"
"A lightweight one with long battery life and quick processor with adequate storage. One that can be transported easily with at least a 13 inch screen and backlit keyboard.",2,"lightweight|one|with|long|battery|life|and|quick|processor|with|adequate|storage|one|that|can|be|transported|easily|with|at|least|inch|screen|and|backlit|keyboard"
"I want a laptop that has long battery life. Is ultra light and thin, yet powerful and able to do challenging tasks. It need to have top build quality metal frame, so it lasts and durable.",2,"want|laptop|that|has|long|battery|life|is|ultra|light|and|thin|yet|powerful|and|able|to|do|challenging|tasks|it|need|to|have|top|build|quality|metal|frame|so|it|lasts|and|durable"
"i would pick an oversized jacket, likely one made of denim. heavy enough to be durable, but not so much so as to be awkward to carry around. i'd like it to have sleeves long enough to roll up a couple of times, and for the buttons to be silver but not smell metallic.",2,"would|pick|an|oversized|jacket|likely|one|made|of|denim|heavy|enough|to|be|durable|but|not|so|much|so|as|to|be|awkward|to|carry|around|like|it|to|have|sleeves|long|enough|to|roll|up|couple|of|times|and|for|the|buttons|to|be|silver|but|not|smell|metallic"
"I would choose the same type of jacket I lost, as I am an outdoorsy person and like technical clothing that is waterproof and windproof and I am not interested in 'fashion' items.",2,"would|choose|the|same|type|of|jacket|lost|as|am|an|outdoorsy|person|and|like|technical|clothing|that|is|waterproof|and|windproof|and|am|not|interested|in|fashion|items"
"I want to buy a windows laptop with a large amount of storage space on it.  I don't want it to be too large and I want to pay no more than £300 pounds for it.",2,"want|to|buy|windows|laptop|with|large|amount|of|storage|space|on|it|don|want|it|to|be|too|large|and|want|to|pay|no|more|than|pounds|for|it"
"I'd get something simple, maybe in a black or a purple color. Maybe a denim or a corduroy would be nice, with a fuzzy faux wool collar.",2,"get|something|simple|maybe|in|black|or|purple|color|maybe|denim|or|corduroy|would|be|nice|with|fuzzy|faux|wool|collar"
"im going to purchase a 15"" laptop with 1T memory, built in video camera with a purple case",2,"im|going|to|purchase|laptop|with|memory|built|in|video|camera|with|purple|case"
"I would buy another Lenovo laptop with at least a 22"" screen and an Intel Core i7 processor. I'd ideally like it to have a decent graphics card, preferably Nvidia and a seperate numerical keyboard. I'd probably opt for a black one.",2,"would|buy|another|lenovo|laptop|with|at|least|screen|and|an|intel|core|processor|ideally|like|it|to|have|decent|graphics|card|preferably|nvidia|and|seperate|numerical|keyboard|probably|opt|for|black|one"
"I would purchase a Macbook Pro. It would need to have an intel core i7 processor because I need a fast processor. It would also need a good graphics card so I can work on photoshop flawlessly.",2,"would|purchase|macbook|pro|it|would|need|to|have|an|intel|core|processor|because|need|fast|processor|it|would|also|need|good|graphics|card|so|can|work|on|photoshop|flawlessly"
"My jacket needs to have pockets for my keys and a hood for when it rains. ",2,"my|jacket|needs|to|have|pockets|for|my|keys|and|hood|for|when|it|rains"
"I need a laptop with good graphics and that can run games well as I would mostly be using it for gaming purposes ",2,"need|laptop|with|good|graphics|and|that|can|run|games|well|as|would|mostly|be|using|it|for|gaming|purposes"
"Not state of the art but would like something half decent and quite fast. Touchscreen.",2,"not|state|of|the|art|but|would|like|something|half|decent|and|quite|fast|touchscreen"
"A laptop that fuctions as a gaming laptop on top of being a work laptop.",2,"laptop|that|fuctions|as|gaming|laptop|on|top|of|being|work|laptop"
"I'd like a jacket that's waterproof, breathable and warm, so that it can be worn through the colder months. Ideally, a neutral or dark colour, and with a hood and lots of pockets!",2,"like|jacket|that|waterproof|breathable|and|warm|so|that|it|can|be|worn|through|the|colder|months|ideally|neutral|or|dark|colour|and|with|hood|and|lots|of|pockets"
"I would buy a new macbook pro ideally if I could afford it or a macbook air. Either would run iOS and have retina display. ",2,"would|buy|new|macbook|pro|ideally|if|could|afford|it|or|macbook|air|either|would|run|ios|and|have|retina|display"
"It should be a fairly well-fitting black jacket. Any brand would do to be honest, just as long as there's no big labels.",2,"it|should|be|fairly|well|fitting|black|jacket|any|brand|would|do|to|be|honest|just|as|long|as|there|no|big|labels"
"I want one that comes down to my hips and is quite fitted. I think I'd like it to be black and quite warm. I wouldn't mind if it's padded.",2,"want|one|that|comes|down|to|my|hips|and|is|quite|fitted|think|like|it|to|be|black|and|quite|warm|wouldn|mind|if|it|padded"
"I would probably choose a Mac because I like apple products and I use them on a daily basis. It also would be the silver coloured one as well


",2,"would|probably|choose|mac|because|like|apple|products|and|use|them|on|daily|basis|it|also|would|be|the|silver|coloured|one|as|well"
"I would like a laptop which is far lighter in weight. Perhaps a 13 inch high resolution screen. I am not bothered about branding but ti does need to be fast, durable and reliable.",2,"would|like|laptop|which|is|far|lighter|in|weight|perhaps|inch|high|resolution|screen|am|not|bothered|about|branding|but|ti|does|need|to|be|fast|durable|and|reliable"
"I want a touch screen laptop. It would give me the ability to draw on it using a stylus. I want it to have a good battery life and be from a refutable brand. The ability to turn into a flat surface like a tablet is also something i like",2,"want|touch|screen|laptop|it|would|give|me|the|ability|to|draw|on|it|using|stylus|want|it|to|have|good|battery|life|and|be|from|refutable|brand|the|ability|to|turn|into|flat|surface|like|tablet|is|also|something|like"
"I would get a HP laptop with at least 8GB RAM. It would need to be 15.6 inches with good memory and batter life as well. A camera is vital for skype calls and busines work.",2,"would|get|hp|laptop|with|at|least|gb|ram|it|would|need|to|be|inches|with|good|memory|and|batter|life|as|well|camera|is|vital|for|skype|calls|and|busines|work"
"I would want a light, modern laptop with a large screen. I like apple products as the operating system is easy to use. I want a lot of hard drive space and a powerful processor, along with good screen resolution. ",2,"would|want|light|modern|laptop|with|large|screen|like|apple|products|as|the|operating|system|is|easy|to|use|want|lot|of|hard|drive|space|and|powerful|processor|along|with|good|screen|resolution"
"I’m planning to buy a puffer jacket maybe in black and maybe with a spirts brand . I would like a good to protect from the rain but not too hot so I can wear in the summer .",2,"planning|to|buy|puffer|jacket|maybe|in|black|and|maybe|with|spirts|brand|would|like|good|to|protect|from|the|rain|but|not|too|hot|so|can|wear|in|the|summer"
"Hi Dave, my old lap top finally packed in. im off to buy a new one, larger screen, more memory, better battery life, not sure if I'm getting a Apple Mac or the Hp thats just come out.",2,"hi|dave|my|old|lap|top|finally|packed|in|im|off|to|buy|new|one|larger|screen|more|memory|better|battery|life|not|sure|if|getting|apple|mac|or|the|hp|thats|just|come|out"
"I would like to purchase a jacket with a hood on. I would like a Black one as it will go with everything. A versatile one that can be worn out shopping but can also be smart enough to wear out to a restaurant . Not too bulky either as don't want to carry a heavy, bulky jacket if I got too warm.",2,"would|like|to|purchase|jacket|with|hood|on|would|like|black|one|as|it|will|go|with|everything|versatile|one|that|can|be|worn|out|shopping|but|can|also|be|smart|enough|to|wear|out|to|restaurant|not|too|bulky|either|as|don|want|to|carry|heavy|bulky|jacket|if|got|too|warm"
"I want a warm and weatherproof jacket, probably mid thigh length so it covers my bottom. Big pockets to carry what I need for the dog, and a warm hood, but not too big a hood so that I can't see where I'm going. I'd choose a dark colour, grey or blue probably, so it doesn't show the dirt, and would have to be washable.",2,"want|warm|and|weatherproof|jacket|probably|mid|thigh|length|so|it|covers|my|bottom|big|pockets|to|carry|what|need|for|the|dog|and|warm|hood|but|not|too|big|hood|so|that|can|see|where|going|choose|dark|colour|grey|or|blue|probably|so|it|doesn|show|the|dirt|and|would|have|to|be|washable"
"I would choose to purchase a leather jacket as my replacement jacket. It would be black leather, probably with a faux fir trim that can be removed. A leather jacket is suitable as a light jacket in Summer, Autumn and Spring as well as a jacket to through on a night out in Winter which keeps your relatively warm but it not too bulky to carry.",2,"would|choose|to|purchase|leather|jacket|as|my|replacement|jacket|it|would|be|black|leather|probably|with|faux|fir|trim|that|can|be|removed|leather|jacket|is|suitable|as|light|jacket|in|summer|autumn|and|spring|as|well|as|jacket|to|through|on|night|out|in|winter|which|keeps|your|relatively|warm|but|it|not|too|bulky|to|carry"
"It would be new, with uptown date specs, with good memory and audiovisual qualities ",2,"it|would|be|new|with|uptown|date|specs|with|good|memory|and|audiovisual|qualities"
"I want a jacket that has a zipper for easy access to take on and off. I want the jacket to be blue, gray, or black, as those colors are easy to match and are a staple in my wardrobe. I want the jacket to be soft and comfortable and cozy. I want the jacket to also have a hood that I can wear on my head in case I get too cold, or I can put it down in case I get too warm.",2,"want|jacket|that|has|zipper|for|easy|access|to|take|on|and|off|want|the|jacket|to|be|blue|gray|or|black|as|those|colors|are|easy|to|match|and|are|staple|in|my|wardrobe|want|the|jacket|to|be|soft|and|comfortable|and|cozy|want|the|jacket|to|also|have|hood|that|can|wear|on|my|head|in|case|get|too|cold|or|can|put|it|down|in|case|get|too|warm"
"I would get a jacket of a reasonable price that I find matches my style. ",2,"would|get|jacket|of|reasonable|price|that|find|matches|my|style"
"i will buy a jacket that fits my size in my favourite colour and light fabric so has not to get too hot it in",2,"will|buy|jacket|that|fits|my|size|in|my|favourite|colour|and|light|fabric|so|has|not|to|get|too|hot|it|in"
"I would like one that is lightweight, has a really good battery life and a clear screen.",2,"would|like|one|that|is|lightweight|has|really|good|battery|life|and|clear|screen"
"I want a jacket that's not too expensive but still looks good. It should be able to keep me warm with good insulation .",2,"want|jacket|that|not|too|expensive|but|still|looks|good|it|should|be|able|to|keep|me|warm|with|good|insulation"
"i would buy a gaming laptop that cant handle most games and that also can be used for day to day activities , i would get a pc that has a high spec so it wont be outdated in a year or 2.",2,"would|buy|gaming|laptop|that|cant|handle|most|games|and|that|also|can|be|used|for|day|to|day|activities|would|get|pc|that|has|high|spec|so|it|wont|be|outdated|in|year|or"
"I will get a warm but breathable jacket - something that lets me walk easily and can cope with wet weather without me getting soaked.
",2,"will|get|warm|but|breathable|jacket|something|that|lets|me|walk|easily|and|can|cope|with|wet|weather|without|me|getting|soaked"
"An imac as it has to be light and long lasting. It has to be valued at a certain price but not too expensive ",2,"an|imac|as|it|has|to|be|light|and|long|lasting|it|has|to|be|valued|at|certain|price|but|not|too|expensive"
"It is good value. Made by Acer with a decent processor and a decent amount of memory. It has a very long battery life as well.",2,"it|is|good|value|made|by|acer|with|decent|processor|and|decent|amount|of|memory|it|has|very|long|battery|life|as|well"
"a black leather jacket with silver buttons that is cropped to waist length",2,"black|leather|jacket|with|silver|buttons|that|is|cropped|to|waist|length"
"I would choose a laptop with a powerful processer, so l don't have to wait so long for things to load, in particular the stock market charts l look at.",2,"would|choose|laptop|with|powerful|processer|so|don|have|to|wait|so|long|for|things|to|load|in|particular|the|stock|market|charts|look|at"
"would probably buy a light zip up jacket, nothing too crazy, just in one color.",2,"would|probably|buy|light|zip|up|jacket|nothing|too|crazy|just|in|one|color"
"I would choose a well known trusted branded laptop that is easy to use ",2,"would|choose|well|known|trusted|branded|laptop|that|is|easy|to|use"
"Its a pale beige colour long waterproof jacket suitable for spring summer. small enough to go in a bag if its too warm",2,"its|pale|beige|colour|long|waterproof|jacket|suitable|for|spring|summer|small|enough|to|go|in|bag|if|its|too|warm"
"The new jacket will be more expensive because of the materials on it will be better fitted and not able to rip apart quickly. The jacket will have a nice black colour to it with a white line pattern around it. It will not have any logos on it while also containing a hooded head as an extra. The jacket will have reasonable size pockets that I can put anything in them and not being able to lose those items easily.",2,"the|new|jacket|will|be|more|expensive|because|of|the|materials|on|it|will|be|better|fitted|and|not|able|to|rip|apart|quickly|the|jacket|will|have|nice|black|colour|to|it|with|white|line|pattern|around|it|it|will|not|have|any|logos|on|it|while|also|containing|hooded|head|as|an|extra|the|jacket|will|have|reasonable|size|pockets|that|can|put|anything|in|them|and|not|being|able|to|lose|those|items|easily"
"i am planning to buy a new jacket. i would be looking at a short heavy wool type. i would like it to at least two pockets so that i can keep my purse in them. I would ideally like it to be lined, maybe a silk like material. The actual colour will have to be navy so that it goes with my wardrobe . i think i would prefer buttons rather than a zip. oh and no hood !",2,"am|planning|to|buy|new|jacket|would|be|looking|at|short|heavy|wool|type|would|like|it|to|at|least|two|pockets|so|that|can|keep|my|purse|in|them|would|ideally|like|it|to|be|lined|maybe|silk|like|material|the|actual|colour|will|have|to|be|navy|so|that|it|goes|with|my|wardrobe|think|would|prefer|buttons|rather|than|zip|oh|and|no|hood"
"I want a medium sized laptop, it has to have at least a 15 inch screen size and have a high definition screen quality. It also must have a fast processor, a lot of memory and a large hard drive capacity.",2,"want|medium|sized|laptop|it|has|to|have|at|least|inch|screen|size|and|have|high|definition|screen|quality|it|also|must|have|fast|processor|lot|of|memory|and|large|hard|drive|capacity"
"i would like a lightweight laptop with plenty of memory and an ergonomically pleasing keyboard at a competitive price ",2,"would|like|lightweight|laptop|with|plenty|of|memory|and|an|ergonomically|pleasing|keyboard|at|competitive|price"
"The laptop that I would purchase would have to be quite powerful as I play quite a few games, maybe something with at least the laptop equivalent of a 1080TI graphics card and it should have a minimum of atleast 16gb of RAM. the size of the monitor isn't too important but I am probably most comfortable with something at least 19 inches, and it should have a response time as close to 2ms and at the very least 60hz refresh rate, although if price isn't a concern I would be looking for something that was capable of 144hz",2,"the|laptop|that|would|purchase|would|have|to|be|quite|powerful|as|play|quite|few|games|maybe|something|with|at|least|the|laptop|equivalent|of|ti|graphics|card|and|it|should|have|minimum|of|atleast|gb|of|ram|the|size|of|the|monitor|isn|too|important|but|am|probably|most|comfortable|with|something|at|least|inches|and|it|should|have|response|time|as|close|to|ms|and|at|the|very|least|hz|refresh|rate|although|if|price|isn|concern|would|be|looking|for|something|that|was|capable|of|hz"
"a golfer type jacket that was fleecy and had a collar, pockets and does up at the front that is also lightweight",2,"golfer|type|jacket|that|was|fleecy|and|had|collar|pockets|and|does|up|at|the|front|that|is|also|lightweight"
"I want a lightweight, portable laptop that fits in with my other electrical products.",2,"want|lightweight|portable|laptop|that|fits|in|with|my|other|electrical|products"
"I would want a basic lightweight jacket like the one I had in a solid color like black or maybe a dark navy with a zip up front and an inside pocket for storing items. I also like side pockets for keeping gloves and a hood would be optional but could be a nice addition.",2,"would|want|basic|lightweight|jacket|like|the|one|had|in|solid|color|like|black|or|maybe|dark|navy|with|zip|up|front|and|an|inside|pocket|for|storing|items|also|like|side|pockets|for|keeping|gloves|and|hood|would|be|optional|but|could|be|nice|addition"
"I would choose a laptop that is durable, yet not too heavy. I'd like it to have a good sized screen and a good cpu and graphics capabilities.",2,"would|choose|laptop|that|is|durable|yet|not|too|heavy|like|it|to|have|good|sized|screen|and|good|cpu|and|graphics|capabilities"
"I'd like to get a lightweight jacket that is versatile. A thin packable down that provides a bit of warmth would be great.",2,"like|to|get|lightweight|jacket|that|is|versatile|thin|packable|down|that|provides|bit|of|warmth|would|be|great"
"I would buy a 17 inch laptop. I prefer HP as they have served me well in the past. My favourite colour for the laptop would be silver.",2,"would|buy|inch|laptop|prefer|hp|as|they|have|served|me|well|in|the|past|my|favourite|colour|for|the|laptop|would|be|silver"
"I would choose a laptop that has a good graphics card, a solid amount of RAM and memory so I can do more on Twitch.",2,"would|choose|laptop|that|has|good|graphics|card|solid|amount|of|ram|and|memory|so|can|do|more|on|twitch"
"I'm going to get one of the convertible laptops that I can use as a laptop or tablet. ",2,"going|to|get|one|of|the|convertible|laptops|that|can|use|as|laptop|or|tablet"
"I would likely choose something very similar to what I currently own. My current laptop is small, has a touch screen and is very lightweight. I don't need anything fancy because I just use it for basic internet needs.",2,"would|likely|choose|something|very|similar|to|what|currently|own|my|current|laptop|is|small|has|touch|screen|and|is|very|lightweight|don|need|anything|fancy|because|just|use|it|for|basic|internet|needs"
"I think I'll probably get a down jacket I like to be warm, a rab one would be nice, but probably too expensive.  I'm worried it might make me look like the Michelin man though",2,"think|ll|probably|get|down|jacket|like|to|be|warm|rab|one|would|be|nice|but|probably|too|expensive|worried|it|might|make|me|look|like|the|michelin|man|though"
"I would choose a leather jacket that looks cute and is comfy for everyday use. I would want studs on it or at least pockets.a jacket that can go with any outfit I would want.",2,"would|choose|leather|jacket|that|looks|cute|and|is|comfy|for|everyday|use|would|want|studs|on|it|or|at|least|pockets|jacket|that|can|go|with|any|outfit|would|want"
"I would really like a jacket that is warm and water-proof, quite like my old jacket. Not overly padded but a good wind breaker. It needs to have lots of pockets and a hood too. Really, I just want one like my old jacket!",2,"would|really|like|jacket|that|is|warm|and|water|proof|quite|like|my|old|jacket|not|overly|padded|but|good|wind|breaker|it|needs|to|have|lots|of|pockets|and|hood|too|really|just|want|one|like|my|old|jacket"
"I need a black jacket as that will go with everything. It needs to be thick so I can wear it through winter and cold days as I already have a summer jacket. Probably will be long but above the knee just so that it's warmer. Waterproof would be beneficial but it needs to look smart.",2,"need|black|jacket|as|that|will|go|with|everything|it|needs|to|be|thick|so|can|wear|it|through|winter|and|cold|days|as|already|have|summer|jacket|probably|will|be|long|but|above|the|knee|just|so|that|it|warmer|waterproof|would|be|beneficial|but|it|needs|to|look|smart"
"I want a MacBook Pro this time round. I want it in rose gold with all of the accessories. I love apple products ",2,"want|macbook|pro|this|time|round|want|it|in|rose|gold|with|all|of|the|accessories|love|apple|products"
"I would choose something light and easily portable that has a big enough screen for watching TV and film on when I am away from home.",2,"would|choose|something|light|and|easily|portable|that|has|big|enough|screen|for|watching|tv|and|film|on|when|am|away|from|home"
"I wish to replace same with a jacket of similar weight and warmness for UK winter conditions.",2,"wish|to|replace|same|with|jacket|of|similar|weight|and|warmness|for|uk|winter|conditions"
"id choose a softshell jacket that i can ear a hoodie underneith",2,"id|choose|softshell|jacket|that|can|ear|hoodie|underneith"
"I want to purchase a new jacket that is similar to my old one that I lost. I want it to have the same colors and feel similar when I wear it. I miss my old jacket and regret losing it.",2,"want|to|purchase|new|jacket|that|is|similar|to|my|old|one|that|lost|want|it|to|have|the|same|colors|and|feel|similar|when|wear|it|miss|my|old|jacket|and|regret|losing|it"
"I want one which works well for email, internet and photos. It should have a good battery life and be easy to navigate.",2,"want|one|which|works|well|for|email|internet|and|photos|it|should|have|good|battery|life|and|be|easy|to|navigate"
"It would have a screen of approximately 15 inches which is really clear and ideal as I work from home. It would be thin and easily portable for when I work outside of the home.I would like it to be silver, and fairly small and compact.",2,"it|would|have|screen|of|approximately|inches|which|is|really|clear|and|ideal|as|work|from|home|it|would|be|thin|and|easily|portable|for|when|work|outside|of|the|home|would|like|it|to|be|silver|and|fairly|small|and|compact"
"I liked that jacket and l wore it most days to go out shopping or even out for lunch ..l would like to stick to the same make but maybe get a different colour .similar style  .maybe look online  and see if there's a sale on somewhere .",2,"liked|that|jacket|and|wore|it|most|days|to|go|out|shopping|or|even|out|for|lunch|would|like|to|stick|to|the|same|make|but|maybe|get|different|colour|similar|style|maybe|look|online|and|see|if|there|sale|on|somewhere"
"The jacket would be made out of denim and embroidered with beautiful flowers across the back and some on the front of the jacket.  The jacket would be cropped just above the waist with long sleeves. ",2,"the|jacket|would|be|made|out|of|denim|and|embroidered|with|beautiful|flowers|across|the|back|and|some|on|the|front|of|the|jacket|the|jacket|would|be|cropped|just|above|the|waist|with|long|sleeves"
"I would buy an Acer gaming laptop with a 17 inch screen.",2,"would|buy|an|acer|gaming|laptop|with|inch|screen"
"I would buy a bomber denim jacket with some good abstract design on the back.",2,"would|buy|bomber|denim|jacket|with|some|good|abstract|design|on|the|back"
"I would like a longish puffer style casual jacket that is suitable to wear in the cold and wet.  I like the bronze brown colour,  I would prefer a waterproof one for all the walking i do but this one is not as expensive as the waterproof ones.",2,"would|like|longish|puffer|style|casual|jacket|that|is|suitable|to|wear|in|the|cold|and|wet|like|the|bronze|brown|colour|would|prefer|waterproof|one|for|all|the|walking|do|but|this|one|is|not|as|expensive|as|the|waterproof|ones"
