"sentence","label"
"I want gift suggestion for girlfriend",2
"Best friend",2
"I want gift suggestion for couples for wedding",2
"I want gift suggestion for sister",2
"I want gift suggestion for brother in all gifts",2
"I want gift suggestion for friend in all gifts",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for friend for birthday",2
"I want gift suggestion for wife in all gifts",2
"Birthday thought photo frame",2
"I need a product to track my fitness",2
"Looking for a device to track my running",2
"Can you suggest a tracker for my bike?",2
"I want to buy a GPS tracker for my car",2
"Show me products to track my sleep",2
"I need a health monitoring device",2
"Looking for a smartwatch to track steps",2
"Can you recommend a package tracking device?",2
"I need a product to track calories",2
"Show me fitness tracking devices",2
"I want a heart rate monitor",2
"Looking for a blood pressure tracker",2
"Can you suggest a weight tracking scale?",2
"I need a water intake tracker bottle",2
"Show me products for activity tracking",2
"Looking for wedding anniversary presents",2
"Need something for retirement celebration",2
"Shopping for graduation presents",2
"Looking for housewarming items",2
"Need baby shower presents",2
"Shopping for engagement ceremony",2
"Looking for promotion celebration items",2
"Need farewell party presents",2
"Shopping for festival decorations",2
"Looking for new year celebration items",2
"Looking for desk organizers",2
"Need office supplies",2
"Show me stationery items",2
"Looking for home decor pieces",2
"Need kitchen gadgets",2
"Show me bathroom accessories",2
"Looking for bedroom essentials",2
"Need living room items",2
"Show me outdoor furniture",2
"Looking for garden tools",2
"Looking for tech gadgets",2
"Need smart home devices",2
"Show me wireless products",2
"Looking for portable chargers",2
"Need phone accessories",2
"Show me laptop bags",2
"Looking for headphones",2
"Need speaker systems",2
"Show me camera accessories",2
"Looking for tablet stands",2
"Looking for jewelry items",2
"Need fashion accessories",2
"Show me watches",2
"Looking for handbags",2
"Need sunglasses",2
"Show me belts and wallets",2
"Looking for scarves",2
"Need hair accessories",2
"Show me cosmetics",2
"Looking for perfumes",2
"Something for book lovers",2
"Need items for music enthusiasts",2
"Looking for art supplies",2
"Need craft materials",2
"Show me hobby items",2
"Looking for sports equipment",2
"Need fitness accessories",2
"Show me yoga products",2
"Looking for gaming accessories",2
"Need photography gear",2
"Looking for pet accessories",2
"Need dog supplies",2
"Show me cat products",2
"Looking for aquarium items",2
"Need bird cage accessories",2
"Show me pet food items",2
"Looking for pet toys",2
"Need pet grooming products",2
"Show me pet clothing",2
"Looking for pet carriers",2
"Need items for newborns",2
"Looking for toddler products",2
"Show me kids toys",2
"Need children's books",2
"Looking for school supplies",2
"Show me kids clothing",2
"Need baby care products",2
"Looking for nursery items",2
"Show me educational toys",2
"Need kids room decor",2
"Looking for travel accessories",2
"Need luggage items",2
"Show me travel bags",2
"Looking for passport holders",2
"Need travel pillows",2
"Show me packing cubes",2
"Looking for toiletry bags",2
"Need travel adapters",2
"Show me luggage tags",2
"recommend me something for my girlfriend",2
"recommend me something for my boyfriend",2
"recommend me something for my wife",2
"recommend me something for my husband",2
"recommend me something for my mom",2
"recommend me something for my dad",2
"recommend me something for my sister",2
"recommend me something for my brother",2
"recommend me something special",2
"recommend something nice",2
"recommend something unique",2
"recommend something useful",2
"can you recommend something",2
"please recommend something",2
"recommend me anything",2
"something to wear for party",2
"something to wear daily",2
"something to wear to work",2
"something to wear casual",2
"something to eat as gift",2
"something to drink as gift",2
"something for home decoration",2
"something for office use",2
"something for kitchen",2
"something for bedroom",2
"something to track my health",2
"something to track my fitness",2
"something to track my steps",2
"something to track my calories",2
"something to track my weight",2
"a product to track my health",2
"a product to track fitness",2
"a product to track activity",2
"a product for home",2
"a product for office",2
"a product for travel",2
"a product for gym",2
"gold necklace suggestions",2
"silver ring suggestions",2
"watch suggestions",2
"perfume suggestions",2
"bag suggestions",2
"shoe suggestions",2
"gift suggestions for birthday",2
"gift suggestions for anniversary",2
"gift suggestions for wedding",2
"product suggestions for her",2
"product suggestions for him",2
"suggestions for women",2
"suggestions for men",2
"suggestions for kids",2
"suggestions for couples",2
"need suggestions",2
"give me suggestions",2
"any suggestions",2
"what do you suggest",2
"suggest something",2
"suggest me a gift",2
"suggest a product",2
"what would you recommend",2
"what can you recommend",2
"what should I buy",2
"what should I get",2
"help me choose a gift",2
"help me find something",2
"help me pick a product",2
"show me options",2
"show me choices",2
"what options do I have",2
"what are my choices",2
"looking for recommendations",2
"need recommendations",2
"want recommendations",2
"seeking recommendations",2
"asking for recommendations",2
"something affordable",2
"something expensive",2
"something luxury",2
"something budget friendly",2
"something under 500",2
"something under 1000",2
"something premium",2
"something cheap",2
"ideas for gift",2
"ideas for present",2
"gifting ideas",2
"present ideas",2
"what to gift",2
"what to buy as gift",2
"Looking for travel bottles",2
"anything for winter",2
"something warm to wear",2
"items for cold weather",2
"products for winter season",2
"anything for summer",2
"something lightweight",2
"items for hot weather",2
"products for monsoon",2
"anything trendy",2
"something unique",2
"items under 500",2
"products on sale",2
"anything colorful",2
"something elegant",2
"luxury items",2
"premium products",2
"affordable options",2
"budget-friendly items",2
"something handmade",2
"traditional products",2
"modern items",2
"vintage products",2
"something practical",2
"useful items",2
"decorative products",2
"functional items",2
"eco-friendly products",2
"sustainable items",2
"organic products",2
"natural items",2
"recommend me anything",2
"suggest something nice",2
"looking for ideas",2
"show me options",2
"what do you have",2
"give me suggestions",2
"any recommendations",2
"help me choose",2
"what should I get",2
"help me decide",2
"I need ideas for gift",2
"looking for something special to gift",2
"want something to surprise",2
"need product ideas",2
"show me popular items",2
"what are bestsellers",2
"trending products",2
"most loved items",2
"customer favorites",2
"top rated products",2
"show me gift",2
"need gift",2
"want gift",2
"gift please",2
"looking gift",2
"suggestion please",2
"recommend anything",2
"help me gift",2
"gift ideas",2
"need something",2
"I want to order a gift card",2
"Looking to buy gift voucher",2
"Need gift certificate",2
"Show me gift hampers",2
"Want gift boxes",2
"Looking for gift sets",2
"Need combo gift packs",2
"Show me gift bundles",2
"Want curated gift collections",2
"Looking for gift baskets",2
"Need assorted gift items",2
