ID|domain|text|USER_age|USER_gender|USER_domain_knowledge|KEYFACTS_annotator1|KEYFACTS_annotator2|KEYFACTS_annotator3|KEYFACTS_annotator4|KEYFACTS_annotation_by_2|KEYFACTS_IAA|KEYFACTS_segments|VAGUE_annotator1|VAGUE_annotator2|VAGUE_annotator3|VAGUE_annotator4|VAGUE_annotation_by_2|VAGUE_IAA|
485|laptop|I would look at the old technology specs my  last laptop had and see if there are any ones that are better for my price range but work my effectively to my needs. I'm a student at university, so I would need something lightweight, under 250$ and works fast. |19|female|5|[['old', 20], ['technology', 24], ['effectively', 138], ['to', 150], ['lightweight', 218], ['works', 246], ['fast', 252]]|[['lightweight', 218], ['under', 231], ['250', 237], ['fast', 252]]|[['lightweight', 218], ['under', 231], ['250', 237], ['works', 246], ['fast', 252]]||[['lightweight', 218], ['under', 231], ['250', 237], ['works', 246], ['fast', 252]]|0.5135261194029851|['lightweight', 'works fast', 'under 250$']|[['better', 100], ['effectively', 138], ['lightweight', 218]]|[['better', 100], ['to', 150], ['my', 153], ['needs', 156], ['lightweight', 218]]|[['better', 100], ['effectively', 138], ['lightweight', 218]]||[['better', 100], ['effectively', 138], ['lightweight', 218]]|0.6096256684491979|
487|laptop|If my current laptop broke down and I had to choose a replacement laptop, I would want a sleeker laptop. Also, I would want the laptop to have a current generation processor. Furthermore, I would want the laptop to also be able to have a graphics card for photo & video editing, or light gaming..|29|male|5|[['sleeker', 89], ['laptop', 97], ['current', 145], ['generation', 153], ['graphics', 238], ['card', 247], ['for', 252], ['photo', 256], ['video', 264], ['editing', 270], ['light', 282], ['gaming', 288]]|[['sleeker', 89], ['laptop', 97], ['current', 145], ['generation', 153], ['processor', 164], ['graphics', 238], ['card', 247], ['photo', 256], ['video', 264], ['editing', 270], ['light', 282], ['gaming', 288]]|[['sleeker', 89], ['current', 145], ['generation', 153], ['processor', 164], ['graphics', 238], ['card', 247], ['for', 252], ['photo', 256], ['video', 264], ['editing', 270], ['or', 279], ['light', 282], ['gaming', 288]]||[['sleeker', 89], ['laptop', 97], ['current', 145], ['generation', 153], ['processor', 164], ['graphics', 238], ['card', 247], ['for', 252], ['photo', 256], ['video', 264], ['editing', 270], ['light', 282], ['gaming', 288]]|0.8607567567567568|['sleeker', 'photo & video editing', 'graphics card', 'current generation processor']|[['sleeker', 89], ['photo', 256], ['video', 264], ['editing', 270], ['light', 282], ['gaming', 288]]|[['sleeker', 89], ['current', 145], ['photo', 256], ['video', 264], ['editing', 270], ['light', 282], ['gaming', 288]]|[['sleeker', 89]]||[['sleeker', 89], ['photo', 256], ['video', 264], ['editing', 270], ['light', 282], ['gaming', 288]]|0.5337837837837838|
488|laptop|When I buy a new laptop I think I would need to out quite a lot of research in, because I'm not really up to date with what's out there at the moment. I like quite a large screen and battery life isn't overly important because I tend to mainly use my laptop at home. I've never had a touchscreen laptop before so if I was to look at getting a laptop with that feature I think it would take a bit of getting used to|37|female|3|[['screen', 172], ['and', 179], ['battery', 183], ['life', 191]]|[['new', 13], ['laptop', 17], ['large', 166], ['screen', 172], ['battery', 183], ['life', 191]]|[['large', 166], ['screen', 172], ['battery', 183], ['life', 191]]||[['large', 166], ['screen', 172], ['battery', 183], ['life', 191]]|0.6997767857142857|['battery life', 'large screen']|[['large', 166], ['overly', 202], ['important', 209]]|[['quite', 158], ['large', 166], ['overly', 202], ['important', 209]]|[['large', 166]]||[['large', 166], ['overly', 202], ['important', 209]]|0.6149809160305344|
489|laptop|I want a laptop with a big screen and one capable of doing everything I do on my desktop computer at home|24|male|5|[['big', 23], ['screen', 27]]|[['big', 23], ['screen', 27]]|[['big', 23], ['screen', 27]]||[['big', 23], ['screen', 27]]|1.0|['big screen']|[['big', 23]]|[['big', 23]]|[['big', 23], ['capable', 42], ['of', 50], ['doing', 53], ['everything', 59]]||[['big', 23]]|0.3704600484261501|
490|laptop|Fast, efficient, light, sleek, portable, quick, weightless, clear |19|female|3|[['fast', 0], ['efficient', 6], ['light', 17], ['sleek', 24], ['portable', 31], ['quick', 41], ['weightless', 48], ['clear', 60]]|[['fast', 0], ['efficient', 6], ['light', 17], ['sleek', 24], ['portable', 31], ['quick', 41], ['weightless', 48], ['clear', 60]]|[['fast', 0], ['efficient', 6], ['light', 17], ['sleek', 24], ['portable', 31], ['quick', 41], ['weightless', 48], ['clear', 60]]||[['fast', 0], ['efficient', 6], ['light', 17], ['sleek', 24], ['portable', 31], ['quick', 41], ['weightless', 48], ['clear', 60]]|1.0|['quick', 'portable', 'weightless', 'Fast', 'efficient', 'light', 'clear', 'sleek']|[['fast', 0], ['sleek', 23]]|[['fast', 0], ['sleek', 23]]|[['fast', 0], ['efficient', 7], ['light', 17], ['sleek', 23], ['quick', 38], ['weightless', 44], ['clear', 55]]||[['fast', 0], ['sleek', 23]]|0.19580419580419584|
491|laptop|would have a touchscreen and be light portable. It would also need a reasonable amount of memory and a good processor.|47|male|6|[['touchscreen', 13], ['and', 25], ['light', 32], ['portable', 38], ['reasonable', 69], ['amount', 80], ['of', 87], ['memory', 90], ['good', 103], ['processor', 108]]|[['touchscreen', 13], ['and', 25], ['light', 32], ['portable', 38], ['reasonable', 69], ['amount', 80], ['of', 87], ['memory', 90], ['good', 103], ['processor', 108]]|[['touchscreen', 13], ['light', 32], ['portable', 38], ['reasonable', 69], ['amount', 80], ['of', 87], ['memory', 90], ['good', 103], ['processor', 108]]||[['touchscreen', 13], ['and', 25], ['light', 32], ['portable', 38], ['reasonable', 69], ['amount', 80], ['of', 87], ['memory', 90], ['good', 103], ['processor', 108]]|0.9371196754563894|['good processor.', 'light portable', 'reasonable amount of memory', 'touchscreen']|[['light', 32], ['portable', 38], ['reasonable', 69], ['good', 103]]|[['light', 32], ['reasonable', 69], ['good', 103]]|[['light', 32], ['portable', 38], ['reasonable', 69], ['good', 103]]||[['light', 32], ['portable', 38], ['reasonable', 69], ['good', 103]]|0.8905380333951762|
492|laptop|A budget laptop that is durable enough to last a long time. It needs to run Windows and have good battery life.|33|male|6|[['budget', 2], ['laptop', 9], ['last', 42], ['a', 47], ['long', 49], ['time', 54], ['windows', 76], ['and', 84], ['good', 93], ['battery', 98], ['life', 106]]|[['budget', 2], ['durable', 24], ['last', 42], ['a', 47], ['long', 49], ['time', 54], ['windows', 76], ['and', 84], ['good', 93], ['battery', 98], ['life', 106]]|[['budget', 2], ['durable', 24], ['last', 42], ['a', 47], ['long', 49], ['time', 54], ['windows', 76], ['good', 93], ['battery', 98], ['life', 106]]||[['budget', 2], ['durable', 24], ['last', 42], ['a', 47], ['long', 49], ['time', 54], ['windows', 76], ['and', 84], ['good', 93], ['battery', 98], ['life', 106]]|0.8207720588235294|['budget', 'Windows', 'good battery life', 'last a long time', 'durable']|[['budget', 2], ['durable', 24], ['long', 49], ['good', 93]]|[['durable', 24], ['good', 93]]|[['durable', 24], ['last', 42], ['a', 47], ['long', 49], ['time', 54], ['good', 93]]||[['durable', 24], ['long', 49], ['good', 93]]|0.4934640522875817|
494|laptop|I would replace my current laptop with a new slim laptop, maybe a mac book or something of similar size and quality |21|female|6|[['new', 41], ['slim', 45], ['laptop', 50], ['mac', 66], ['book', 70]]|[['new', 41], ['slim', 45], ['laptop', 50], ['mac', 66], ['book', 70], ['quality', 108]]|[['slim', 45], ['mac', 66], ['book', 70]]||[['new', 41], ['slim', 45], ['laptop', 50], ['mac', 66], ['book', 70]]|0.7321428571428572|['slim', 'mac book', 'new']|[['new', 41], ['slim', 45], ['quality', 108]]|[['new', 41], ['slim', 45], ['similar', 91]]|[['slim', 45], ['something', 78]]||[['new', 41], ['slim', 45]]|0.43965517241379315|
495|laptop|a hp one. not top of the range or anything special, just one that is strong enough to support browsing, videos, downloads etc.|34|male|5|[['hp', 2], ['one', 5], ['support', 86], ['browsing', 94], ['videos', 104], ['downloads', 112], ['etc', 122]]|[['hp', 2], ['one', 5], ['top', 14], ['of', 18], ['the', 21], ['range', 25], ['strong', 69], ['enough', 76], ['browsing', 94], ['videos', 104], ['downloads', 112], ['etc', 122]]|[['hp', 2], ['one', 5], ['top', 14], ['of', 18], ['the', 21], ['range', 25], ['anything', 34], ['special', 43], ['support', 86], ['browsing', 94], ['videos', 104], ['downloads', 112]]||[['hp', 2], ['one', 5], ['top', 14], ['of', 18], ['the', 21], ['range', 25], ['support', 86], ['browsing', 94], ['videos', 104], ['downloads', 112], ['etc', 122]]|0.4227504244482173|['hp one', 'videos', 'downloads', 'support browsing', 'top of the range']|[['top', 14], ['of', 18], ['the', 21], ['range', 25], ['strong', 69], ['enough', 76], ['browsing', 94]]|[['top', 14], ['of', 18], ['the', 21], ['range', 25], ['strong', 69]]|[['anything', 34], ['strong', 69]]||[['top', 14], ['of', 18], ['the', 21], ['range', 25], ['strong', 69]]|0.375|
497|laptop|I would like one that is lightweight, has a really good battery life and a clear screen.|52|female|6|[['lightweight', 25], ['really', 44], ['good', 51], ['battery', 56], ['life', 64], ['clear', 75], ['screen', 81]]|[['lightweight', 25], ['good', 51], ['battery', 56], ['life', 64], ['clear', 75], ['screen', 81]]|[['lightweight', 25], ['good', 51], ['battery', 56], ['life', 64], ['and', 69], ['clear', 75], ['screen', 81]]||[['lightweight', 25], ['good', 51], ['battery', 56], ['life', 64], ['clear', 75], ['screen', 81]]|0.8387096774193549|['lightweight', 'clear screen', 'good battery life']|[['lightweight', 25], ['really', 44], ['good', 51], ['clear', 75]]|[['lightweight', 25], ['really', 44], ['good', 51], ['clear', 75]]|[['lightweight', 25], ['really', 44], ['good', 51]]||[['lightweight', 25], ['really', 44], ['good', 51], ['clear', 75]]|0.8845208845208845|
499|laptop|My new laptop is going to be much better than anything I had before. I want something with at least 6 cores, maybe even 8. A dedicated graphics card would be nice, but I won't go crazy, since that will kill the battery life. Given that I will mostly use it as a desktop, battery life isn't as big of a deal, but is still nice. Luckily, I don't use a lot of storage, so a smaller SSD will probably be a better choice than a large HDD. Overall, I am going for function over form, and focusing on my needs in this purchase.|30|male|6|[['least', 94], ['6', 100], ['cores', 102], ['maybe', 109], ['even', 115], ['8', 120], ['dedicated', 125], ['graphics', 135], ['card', 144], ['battery', 271], ['life', 279], ['isn', 284], ['t', 288], ['as', 290], ['big', 293], ['of', 297], ['a', 300], ['deal', 302], ['smaller', 371], ['ssd', 379], ['large', 423], ['hdd', 429]]|[['new', 3], ['6', 100], ['cores', 102], ['maybe', 109], ['even', 115], ['8', 120], ['dedicated', 125], ['graphics', 135], ['card', 144], ['battery', 211], ['life', 219], ['battery', 271], ['life', 279], ['smaller', 371], ['ssd', 379], ['large', 423], ['hdd', 429]]|[['6', 100], ['cores', 102], ['maybe', 109], ['even', 115], ['8', 120], ['dedicated', 125], ['graphics', 135], ['card', 144], ['battery', 271], ['life', 279], ['smaller', 371], ['ssd', 379], ['large', 423], ['hdd', 429], ['function', 458], ['over', 467], ['form', 472]]||[['6', 100], ['cores', 102], ['maybe', 109], ['even', 115], ['8', 120], ['dedicated', 125], ['graphics', 135], ['card', 144], ['battery', 271], ['life', 279], ['smaller', 371], ['ssd', 379], ['large', 423], ['hdd', 429]]|0.6981132075471699|['smaller SSD', '6 cores, maybe even 8', 'dedicated graphics card', 'large HDD', 'battery life', '']|[['much', 29], ['better', 34], ['a', 348], ['lot', 350], ['smaller', 371], ['probably', 388], ['function', 458], ['over', 467], ['form', 472]]|[['much', 29], ['better', 34], ['dedicated', 125], ['nice', 158], ['mostly', 243], ['big', 293], ['nice', 321], ['smaller', 371], ['large', 423]]|[['better', 34], ['than', 41], ['anything', 46], ['something', 76], ['nice', 321], ['smaller', 371], ['large', 423]]||[['much', 29], ['better', 34], ['nice', 321], ['smaller', 371], ['large', 423]]|0.30757679180887376|
500|laptop|I would buy a lightweight laptop, that would be black not a colour or silver, it would need yo have wifi and Microsoft office enabled, I would need to buy a additional mouse with my laptop and bag|32|female|2|[['lightweight', 14], ['laptop', 26], ['black', 48], ['not', 54], ['a', 58], ['colour', 60], ['or', 67], ['silver', 70], ['wifi', 100], ['and', 105], ['microsoft', 109], ['office', 119]]|[['lightweight', 14], ['laptop', 26], ['black', 48], ['not', 54], ['colour', 60], ['silver', 70], ['wifi', 100], ['microsoft', 109], ['office', 119], ['additional', 157], ['mouse', 168], ['bag', 193]]|[['lightweight', 14], ['black', 48], ['colour', 60], ['or', 67], ['silver', 70], ['wifi', 100], ['microsoft', 109], ['office', 119], ['additional', 157], ['mouse', 168], ['bag', 193]]||[['lightweight', 14], ['laptop', 26], ['black', 48], ['not', 54], ['colour', 60], ['or', 67], ['silver', 70], ['wifi', 100], ['microsoft', 109], ['office', 119], ['additional', 157], ['mouse', 168], ['bag', 193]]|0.6730560578661844|['additional mouse', 'lightweight', 'bag', 'wifi', 'Microsoft office', 'black', 'silver']|[['lightweight', 14]]|[['lightweight', 14]]|[['lightweight', 14]]||[['lightweight', 14]]|1.0|
