Id,title,handle,body_html,tags
11,11 cm Special Someone Brown Teddy,11-cm-special-someone-brown-teddy,"Let the beloved know how special he or she is. Let your beloved know you belong together. The adorable teddy bear measures 19L x 12W x 11H cm in size and its body is a beautiful mix of light brown, red and white hues. It is holding a tiny heart with 'Special Someone' written on it.Teddy bearDimension: 19L x 12W x 11H cm (7x4x4)Primary colour: light brownDimensions: 25cmOuter: Soft plush coverInner filling: Polyfill StuffingProduct Weight: 120gmPackage Weight: 220gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Offer Products""}"
12,1st April Fool's Day Coffee Mug,1st-april-fools-day-coffee-mug,A perfect gift for friends to make them feel special. This mug is bound to raise a smile. It is a great addition to the kitchen or office. Material: White Ceramic | High Quality Digital Printing | Premium Quality Gloss FinishedDimension: 7 x 10 cm|Capacity: 300 ml | Package content: 1 MugFeatures: Dishwasher &amp; Microwave Safe | Non Toxic | BPA Free | Environment Friendly | Reusable and Odorless| 2 Layered Thermocol Safe Packaging.Please Note: *Colour of the actual product may slightly vary due to different photographic lighting sources or your display color settings.Utility: Gift For Boyfriend|Gift ForAnniversaryDishwasher Safe: YesMicrowave Safe: YesCapacity: 300 mlDimensions: 7 x 10 cmMaterial: CeramicProduct Weight: 325 gmPackage Weight: 433 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India,"{""COD - GBGT"","" Coffee Mugs""}"
13,2 in 1 Ganesha Silver Rakhi Pendant,2-in-1-ganesha-silver-rakhi-pendant,"Celebrate the eternal bond of sibling love with our exquisite 925 sterling silver Rakhi collection. Each Rakhi is meticulously handmade, crafted with love and care to symbolize the profound connection shared between siblings. Tie these beautiful silver Rakhis onto the wrists of your beloved brother, sister, or even the little ones - be it your baby boy or baby girl. Our silver Rakhis are not just threads; they are timeless tokens of affection, designed to be cherished for a lifetime. Mark this auspicious occasion of Raksha Bandhan with a gesture that resonates with tradition and elegance. Whether it's for your dear brother or beloved bhabhi, our silver Rakhis are a perfect choice to adorn their wrists and express your heartfelt emotions. Don't wait any longer; shop now and make this Raksha Bandhan truly special with our stunning collection of silver Rakhis. Hurry, and seize the opportunity to create lasting memories with your loved ones! 925 Sterling Silver Rakhi &amp; Combo BraceletHypoallergenic to skinComplementary Roli Chawal Pack &amp; Rakhi Greeting CardHandmade &amp; Packed with LoveComes with Authenticity certificateSuitable for Adults Care Instructions: Wipe your rakhi with a soft cloth after every use and keep it safe in the box.Avoid perfume, soap, or any acidic thing over the jewelry piece.Do not soak your jewelry in water Material: 925 Sterling SilverCategory: RakhiColour: SilverPackage Weight: 100 gmPackage Dimensions: 12x12x4 cmNumber of Items:1Marketed By : Giftcart E-commerce Pvt LtdCustomer Care:+91-9910644899Email: cx@giftcart.comCountry of Origin: India",{Rakhi}
14,2 Katori,gc04,This product is not available for standalone purchase. It can only be added as an add-on with other items.,"{""Add On Product""}"
15,"2 Rakhi Set, Cashew & Card Hamper For Raksha Bandhan",rakhi-set-cashew-card-hamper-for-raksha-bandhan,"Delight your brothers with this thoughtfully curated Raksha Bandhan gift set that blends tradition, sweetness, and style. Designed to express love and warmth, this hamper includes twin Rakhis, premium dry fruits, and ceremonial essentials, all tucked neatly in festive packaging.Premium Twin Rakhi Set: Includes 2 beautifully handcrafted Rakhis to honour both brothers or brother and bhabhi. Festive Potali Pouch: A rich maroon potali with golden polka design adds a traditional charm while storing the treats.Nutritious Delight: Contains 200g of premium cashew nuts to add a healthy and tasty element to the celebrations. Ceremonial Essentials: Comes with 2 golden katoris filled with roli and rice for the auspicious ritual. Vibrant Greeting Card: Includes an A5-size Raksha Bandhan card to pen down heartfelt messages and wishes.Utility: Double the love with a 2 Rakhi set, crunchy cashews, and a heartfelt card — a complete Raksha Bandhan gift package.Material: SatinProduct Weight: 350 gmPackaged Weight 500 gmNumber of Items: 4Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Hampers"","" Offer Products""}"
16,20 Reasons Why I Love You Surprise Puzzle Gift Box,20-reasons-why-i-love-you-surprise-puzzle-gift-box,"This is a surprise wooden puzzle gift box for your special person. This gift box is made of MDF Wooden and it has elegant look. All the 20 reasons are unique, which can be great gestures on a anniversary or valentine’s day, to give as a gift to your partner, girlfriend, wife, husband, boyfriend, or even your parents or friends. The box is very sturdy and made with super fine quality wood. On the top of the box, it covered with golden mirror and it can be customise with couple name.The engraved qoute wooden puzzle card has a smooth finish and the engravings are very detailed and a beautiful quotes. The box has a classic and elegant design. This is a great gift for Valentine’s Day, Anniversary, or other special occasion. This can be the best gift as I Love You Gifts, wife birthday gifts or husband birthday gifts. This is the best memory box or special gift to your girlfriend or boyfriend as a valentine gift.A unique wooden 20 reasons why I love you puzzle box with engraved quotes. The ultimate way to say ‘I love you’, this engraved keepsake box will make any occasion more memorable. If you are looking for a gift for a special occasion or just want to express your love and appreciation, this is the perfect cute gift. utility : This is a great gift for Valentine’s Day, Birthday, Anniversary, or other special occasion. of your wife, husband, girlfrined, boyfriend or partner WEIGHT 400 gDIMENSIONS 25 × 20 × 3 cmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{Couple,"" Husband"","" Lamps"","" Personalised Gifts"","" Wife""}"
17,21st Birthday Personalised Choco Bar,21st-birthday-personalised-choco-bar,"When you wish for the loved ones from deep within the heart, this is a perfect gift you should go for.Wrapped and presented in a premium quality glossy paper, Bournville / Cadbury Chocolate that comes in two sizes 80 gm and 260 gms (130 gm x 2) respectively.Personalised choco bars are foil wrapped then finished with a full colour, personalised wrapper for maximum impact and presentation.Utility Wish to send someone a card? Send a Chocolate Card instead. A special occasion? This is not just any card, but a delicious edible choco bar wrapped inside your card featuring your own photo / text! Send someone a unique choco bar card, printed especially for the one you wish to surprise! Ingredients: Bournville Ingredients: Sugar, Cocoa Solids (45%#), Cocoa Butter (25%#), Milk Solids, Emulsifiers (442, 476) Contains Added Flavour (Natural And Nature Identical Flavouring Substances) Allergen Information: Contains Milk, Manufactured on Equipment That Also Processes Products Containing Tree Nuts..Cadbury Dairy Milk Ingredients: Sugar, Milk Solids (23%*), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical And Artificial (Vanilla) Flavouring Substances). Allergen Information: Contains Milk. May Contain Tree Nuts, Wheat, Barley And Soy.Care Instructions: Store the Chocolate in the refrigerator before consuming. Please consume before the expiry date.Material: Wrap Glossy Paper 180 gsmDimensions: Bournville 3.5 x 22.1 x 52.1 cm/ Cadbury Dairy Milk ‎3.5 x 22.1 x 52.1 cmProduct Weight: 100 gm / 280 gmPackaged Weight 200 gm / 400 gmNumber of Items: Bournville 1 (80 gm) / Cadbury Dairy Milk - 2 pcs (130 gm each)Expiry Date : Best before 12 month from packagingMarketed By : Giftcart Ecommerce Pvt LtdCustomer Care : +91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""Choco Bars"","" Choco Bars - GBGT"","" COD - GBGT""}"
18,24K Gold Foil 3D Peacocks Frame,24k-gold-foil-3d-peacocks-frame,"24K Gold Frames That Adds A Golden Touch For Anyone who is looking to buy a gift. Available in different decor styles, ranging from Nature, Vintage, Antique And Religious themed the Gold picture frames will truly adorn the place where it is kept.Truly a one of a kind luxury gift with affordable pricing that one can gift for new house warming ceremony, religious functions, anniversary, wedding and as gift for a new car.So go ahead - browse our great selection of styles, finishes, designs, shapes and sizes to find your perfect gold frame and shine.This Product is Made of 24K Pure Gold Foil.This Product is subject to Lifetime Buy Back Offer. When you return, you will be eligible for 70% cash back from the MRP, which could be used to buy any other product.Note: Prices are subject to vary based on the Current Market Price.Height: 34cmWidth: 27cmPurity: 24kGold Type: yellowNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{Husband,"" Jewelry"","" Wife""}"
19,24K Lord Shreenothji Golden Car Stand,24k-lord-shreenothji-golden-car-stand,"Lord Shrinathji is a form of God Krishna, he is worshipped mainly by the followers of Bhakti Yoga and the Vaishnava. T Legends Say, the Srinathji deity self-manifested from stone and emerged from the Govardhan Hills. Historically, the image of Shrinathji was first worshipped at Govardhan hill, near Mathura. his is an ideal gift for any occasion and is a great choice to keep in your place of worship or even in your car too. 24K Lord Shreenath Golden Car Stand is an ideal gift for any occasion and is a great choice to keep in your place of worship or even in your car too. This Product is Made of 24K Pure Gold Foil and the height is 5.5 * 7.5 cms. This Product is subject to Lifetime Buy Back Offer. When you return, you will be eligible for 70% cash back from the MRP, which could be used to buy any other product. Number of Items: 1Marketed By : Giftcart Ecommerce Pvt LtdCustomer Care:+91-9910644899Email: cx@giftcart.comCountry of Origin: India","{""Personalised Gifts""}"
20,25 Years of Love Balloon Bouquet,25-years-of-love-balloon-bouquet,"A beautiful balloon bouquet that reads a heartfelt anniversary wish.The golden colour of this bouquet symbolizes the love and warmth a couple shares.This stunning arrangement is perfect for 25th-anniversary celebrations.As you can see, this gorgeous bouquet comes with a printed foil balloon on the top that reads a “Happy Anniversary” wish. It also has “25” numeric foil balloons, a golden heart foil balloon and a golden bow.A bunch of silver and black chrome balloons holds this bouquet together. Send anniversary wishes to your loved ones with this beautiful gift idea. It can also be used as a decoration prop for anniversary parties. You can easily order this 25th-anniversary special balloon bouquet online from Gftcart. Cancellation Policy: If a cancellation happens 24 hours before the time of delivery, a full refund will be issued. If a cancellation occurs between 24 and 6 hours before the time of delivery, a 50% refund will be issued. If a cancellation occurs less than 6 hours before delivery, no refund will be issued. Delivery Information: The image displayed is indicative in nature. Actual product may vary in shape, color or design as per the availability. Our balloon expert will come to your home at your chosen slot, and set up the balloons as shown in the images.. In case of a complaint, notice must be given within 2 hours of the delivery time of the experience. No rescheduling or cancellation is possible after the decoration has been attempted. We can decorate a hotel room if you gain permission from the hotel. Material: Bunch Of 4 Silver Chrome, 10 Black Chrome, 10 Black Latex1 Anniversary Printed Foil Balloon1 Golden Heart Foil BalloonGolden Numeric Foil1 Golden Ribbon BowNumber of Items: 10Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India All major pincodes of the selected city are covered, however if your pincode is on city outskirts then please check with our customer care if your area is serviceable by our flower delivery network","{""Experiential Gifts""}"
21,25 Years Together Anniversary Set of 2 Coffee Mug,25-years-together-anniversary-set-of-2-coffee-mug,"Celebrate your special bond with this charming mug set, perfect for commemorating anniversaries and shared memories. Crafted to bring joy, these mugs are a delightful addition to any couple's kitchen. Material: White Ceramic | High Quality Digital Printing | Premium Quality Gloss FinishedDimension: 7 x 10 cm|Capacity: 300 ml | Package content: 1 MugFeatures: Dishwasher &amp; Microwave Safe | Non Toxic | BPA Free | Environment Friendly | Reusable and Odorless| 2 Layered Thermocol Safe Packaging.Please Note: *Colour of the actual product may slightly vary due to different photographic lighting sources or your display color settings.Utility: Gift Anniversary | Gifts for Husband | Gifts for Wife | Couple Gifts Dishwasher Safe: YesMicrowave Safe: YesCapacity: 300 ml eachDimensions: 7 x 10 cmMaterial: CeramicProduct Weight: 325 gm eachPackage Weight: 433 gm eachNumber of Items: 2Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Coffee Mugs"","" set of 2 coffee mug""}"
22,3 Flavour Cocktail Mix Combo,3-flavour-cocktail-mix-combo,Non alcoholic cocktai or mocktail mix. Simplest way to make cocktail or mocktail. A classic combination of Cosmopolitan+ Bloody Mary+MojitoPack of 2 Each (125ml each)Non-AlcoholicNo Preservatives (No Sodium Benzoate)Just add 60ml spirit of your choice Volume: 125 ml eachNumber of Items: ﻿6Marketed By: Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email: cx@giftcart.comCountry of Origin: India,{}
23,3 In 1 Cocktail Mix,3-in-1-cocktail-mix,Non alcoholic cocktai or mocktail mix. Simplest way to make cocktail or mocktail. A classic combination of Bloody Mary+Margarta+MojitoPack of 2 Each (125ml each)Non-AlcoholicNo Preservatives (No Sodium Benzoate)Just add 60ml spirit of your choice Volume: 125 ml eachNumber of Items: ﻿6Marketed By: Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email: cx@giftcart.comCountry of Origin: India,{}
24,3 Photo Collage Personalised Magnet,3-photo-collage-personalised-magnet,"OurÂ decorative and versatile magnets are a wonderful addition to any fridge and perfect for gift giving. Our magnets aren't limited to just adorning your fridge; they effortlessly adhere to virtually any metallic surface, making them versatile companions for your daily life. Whether it's your filing cabinet, office desk, or any other magnetic-friendly surface, our magnets will add a touch of style and functionality wherever they go.Â Crafted from high-quality Medium-Density Fiberboard (MDF), our magnets not only exude charm but also offer exceptional adhesion, ensuring they stay securely in place on your fridge or any metallic surface. With their substantial thickness, these magnets are not only visually pleasing but also tactilely satisfying. Transform mundane moments into a visual delight with our captivating and enduring magnet collection.Â More reasons to spend some more time in front of the fridge! utility : perfect present for wishing birthday or anniversary to your mom, dad, sister, brother, wide, husband, friends , bf, gf or colleague Shape -Â SquareDimensions:Â 9 x 9 cm (3.5 x 3.5 )Material:Â Glossy Laminated Medium-density fibreboard (MDF) Engineered wood 4mm thickness withÂ Magnetic backingProduct Weight: 30 gmPackage Weight: 80 gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email :Â cx@giftcart.comCountry of Origin: India","{""COD - GBGT"","" Couple"","" Fridge Magnets"","" Offer Products""}"
25,4 Leaf Clover Ring - Gold,4-leaf-clover-ring-gold,"Double clover ring in gold from 4 leaf Clover series. The band of this ring adjustable to fit any finger size. The inside clover is studded with beautiful texture green malachite. Malachite. This lovely green textured mineral absorbs all negative energy and helps in stimulating heart &amp; throat chakras. Green crystals work on regeneration bringing success in new ventures.Four leaf clover is rarely found in nature. It is believed to bring 'Good Luck' to its possessor. Each of the 4 leaves of clover represents a different quality. The first leaf representing hope, the second faith, the third leaf is for love and the fourth one brings good luck to its finder. Representation of this in the form of amulets makes a perfect piece of jewel to own. Crown of the ring (which is the hollow clover frame): 16mm*16mm (length*width)Green clover part encased including frame: 9mm*9mm (length*width)Base metal: Sterling silver with 1 micron 18carat gold platingStone used: Green textured Malachite (Origin - South Africa)Product Weight: 3.65gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{Jewellery,"" Jewelry"","" Silver Jewellery""}"
26,4 Leaf Clover Ring - Silver,4-leaf-clover-ring-silver,"Double clover ring in silver from 4 leaf Clover series. The band of this ring adjustable to fit any finger size. The inside clover is studded with beautiful texture green malachite. Malachite. This lovely green textured mineral absorbs all negative energy and helps in stimulating heart &amp; throat chakras. Green crystals work on regeneration bringing success in new ventures.Four leaf clover is rarely found in nature. It is believed to bring 'Good Luck' to its possessor. Each of the 4 leaves of clover represents a different quality. The first leaf representing hope, the second faith, the third leaf is for love and the fourth one brings good luck to its finder. Representation of this in the form of amulets makes a perfect piece of jewel to own. Crown of the ring (which is the hollow clover frame): 16mm*16mm (length*width).Green clover part encased including frame: 9mm*9mm (length*width).Base metal: Sterling silver.Stone used: Green Malachite (Origin - South Africa)Product Weight: 3.65gmsNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{Jewellery,"" Jewelry"","" Silver Jewellery""}"
27,4 Leaf Clover Studs - Gold,4-leaf-clover-studs-gold,"Double clover studs in silver from 4 leaf Clover series for those who prefer is simple and dainty. The studs have push back closure. The inside clover is studded with beautiful texture green malachite.Malachite. This lovely green textured mineral absorbs all negative energy and helps in stimulating heart &amp; throat chakras. Green crystals work on regeneration bringing success in new ventures.Four leaf clover is rarely found in nature. It is believed to bring 'Good Luck' to its possessor. Each of the 4 leaves of clover represents a different quality. The first leaf representing hope, the second faith, the third leaf is for love and the fourth one brings good luck to its finder. Representation of this in the form of amulets makes a perfect piece of jewel to own. Length: 16mmWidth: 16mmBig hollow clover frame: 16mm*16mm (length * width)Small green clovers including frame: 9mm*9mm (length * width)Base metal: Sterling silverStone used: Green Malachite (Origin - South Africa)Product Weight: 4.05gmNumber of Items: 1Marketed By :Giftcart Ecommerce Pvt LtdCustomer Care :+91-9910644899Email : cx@giftcart.comCountry of Origin: India","{Jewellery,"" Jewelry"","" Silver Jewellery""}"
